year,lon,lat,edge_density,building_coverage,texture_entropy,ssim,resnet_cosine_dist,building_count,building_area_mean,amenity_count,shop_count,leisure_count,poi_diversity,road_length_total,d_edge_density,d_building_coverage,d_texture_entropy,d_building_count,d_building_area_mean,d_amenity_count,d_shop_count,d_leisure_count,d_poi_diversity,d_road_length_total
2019,120.615,24.145,0.0715802426739926,0.1584289148351648,2.9370742021694727,0.0042259681838438,0.7665895819664001,15,681.0891268140028,2,2,0,1.0,0.0,0.0715802426739926,0.1584289148351648,2.9370742021694727,4.0,111.4999719127693,2.0,2.0,0.0,1.0,0.0
2020,120.615,24.145,0.1061338141025641,0.1986916208791208,3.093155459685708,0.7422188764459888,0.0632964372634887,15,681.0891268140028,2,2,0,1.0,0.0,0.0345535714285715,0.04026270604395599,0.15608125751623536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,120.615,24.145,0.1261796016483516,0.2047121108058608,3.174402598195875,0.8700240893289164,0.0430732369422912,25,540.8498104237366,2,2,0,1.0,0.0,0.020045787545787494,0.006020489926740008,0.08124713851016674,10.0,-140.23931639026625,0.0,0.0,0.0,0.0,0.0
2022,120.615,24.145,0.0,0.0,0.0,0.0029758945961668,0.7799881100654602,50,580.0290926014226,2,4,0,0.9182958340544896,0.0,-0.1261796016483516,-0.2047121108058608,-3.174402598195875,25.0,39.17928217768599,0.0,2.0,0.0,-0.08170416594551044,0.0
2023,120.615,24.145,0.1443595467032967,0.2089337225274725,3.1886002600274006,0.0064089007895506,0.7729398012161255,239,217.974285336386,2,4,0,0.9182958340544896,0.0,0.1443595467032967,0.2089337225274725,3.1886002600274006,189.0,-362.0548072650366,0.0,0.0,0.0,0.0,0.0
2024,120.615,24.145,0.1325286172161172,0.1889909569597069,3.0774844601688627,0.5681180566575345,0.0542744994163513,239,225.73621157679028,2,4,0,0.9182958340544896,0.0,-0.011830929487179509,-0.019942765567765586,-0.11111579985853792,0.0,7.761926240404279,0.0,0.0,0.0,0.0,0.0
2025,120.615,24.145,0.1524267399267399,0.1974536401098901,3.1246807616696426,0.7179235558592569,0.0438992977142334,237,227.3827811829259,2,4,0,0.9182958340544896,0.0,0.019898122710622718,0.008462683150183198,0.047196301500779914,-2.0,1.646569606135614,0.0,0.0,0.0,0.0,0.0
2018,120.615,24.155,0.0,0.0,0.0,,,0,0.0,0,0,0,0.0,0.0,,,,,,,,,,
2019,120.615,24.155,0.081060554029304,0.1614772206959707,2.9729765608866603,0.0042597346476944,0.7538317441940308,2,1165.813467607538,1,1,0,1.0,0.0,0.081060554029304,0.1614772206959707,2.9729765608866603,2.0,1165.813467607538,1.0,1.0,0.0,1.0,0.0
2020,120.615,24.155,0.119744162087912,0.1916466346153846,3.1210035302886188,0.7364139443722889,0.0447298884391784,2,1165.813467607538,1,1,0,1.0,0.0,0.038683608058608,0.030169413919413884,0.14802696940195847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,120.615,24.155,0.1391512133699633,0.1884071657509157,3.2070139116245544,0.8583106155613363,0.0581044554710388,2,1165.813467607538,1,1,0,1.0,0.0,0.019407051282051307,-0.0032394688644688807,0.08601038133593564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,120.615,24.155,0.0,0.0,0.0,0.0029999411635678,0.7868474125862122,6,983.565749519154,1,1,0,1.0,0.0,-0.1391512133699633,-0.1884071657509157,-3.2070139116245544,4.0,-182.2477180883841,0.0,0.0,0.0,0.0,0.0
2023,120.615,24.155,0.1592965888278388,0.2064136904761905,3.2137975208670726,0.0088145972084958,0.7632009387016296,6,983.5657495191537,1,1,0,1.0,0.0,0.1592965888278388,0.2064136904761905,3.2137975208670726,0.0,-3.410605131648481e-13,0.0,0.0,0.0,0.0,0.0
2024,120.615,24.155,0.1439222756410256,0.1907989926739926,3.1075031704828606,0.5565673921662159,0.0476639866828918,6,983.565749519154,1,1,0,1.0,0.0,-0.015374313186813177,-0.015614697802197874,-0.10629435038421198,0.0,3.410605131648481e-13,0.0,0.0,0.0,0.0,0.0
2025,120.615,24.155,0.1639697802197802,0.1975171703296703,3.146326818356304,0.716439392535166,0.0268828272819519,6,888.0244033382447,0,1,0,-0.0,0.0,0.020047504578754594,0.006718177655677698,0.03882364787344317,0.0,-95.54134618090927,-1.0,0.0,0.0,-1.0,0.0
2018,120.615,24.165,0.0,0.0,0.0,,,2,229.29036052916516,2,0,0,-0.0,0.0,,,,,,,,,,
2019,120.615,24.165,0.0887133699633699,0.1960496794871795,3.010497740462104,0.0039409906813764,0.7491064071655273,7,879.417203598217,2,0,0,-0.0,0.0,0.0887133699633699,0.1960496794871795,3.010497740462104,5.0,650.1268430690519,0.0,0.0,0.0,0.0,0.0
2020,120.615,24.165,0.139656021062271,0.2056753663003663,3.163185378202172,0.7210002227528769,0.0408933758735656,7,879.417203598217,2,0,0,-0.0,0.0,0.050942651098901115,0.009625686813186818,0.1526876377400681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,120.615,24.165,0.1542794184981685,0.203941163003663,3.243196862052173,0.8575949700971172,0.0317434072494506,7,879.417203598217,2,0,0,-0.0,0.0,0.014623397435897495,-0.0017342032967033183,0.08001148385000079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,120.615,24.165,0.0,0.0,0.0,0.002728104525245,0.7984978556632996,8,920.154602697568,2,0,0,-0.0,0.0,-0.1542794184981685,-0.203941163003663,-3.243196862052173,1.0,40.73739909935091,0.0,0.0,0.0,0.0,0.0
