year,lon,lat,edge_density,building_coverage,texture_entropy,ssim,resnet_cosine_dist,building_count,building_area_mean,amenity_count,shop_count,leisure_count,poi_diversity,road_length_total,d_edge_density,d_building_coverage,d_texture_entropy,d_building_count,d_building_area_mean,d_amenity_count,d_shop_count,d_leisure_count,d_poi_diversity,d_road_length_total
2021,120.615,24.195,0.1269717261904762,0.2154229624542124,3.200050815508355,0.8362979380500692,0.0719707608222961,32,3505.030031295467,1,0,0,-0.0,0.0,0.021374198717948795,-0.003796932234432282,0.10951119289126598,-1.0,-290.35430368516654,0.0,0.0,0.0,0.0,0.0
2022,120.615,24.195,0.0,0.0,0.0,0.002622815725081,0.748031497001648,50,2421.8567618060997,1,0,0,-0.0,0.0,-0.1269717261904762,-0.2154229624542124,-3.200050815508355,18.0,-1083.1732694893672,0.0,0.0,0.0,0.0,0.0
2023,120.615,24.195,0.1490081272893773,0.2182892628205128,3.214912948952878,0.0090367341569296,0.7552202343940735,53,2396.2889022765967,1,0,0,-0.0,0.0,0.1490081272893773,0.2182892628205128,3.214912948952878,3.0,-25.56785952950304,0.0,0.0,0.0,0.0,0.0
2024,120.615,24.195,0.1280231227106227,0.2014308608058608,3.0738923546025485,0.5301525106467553,0.107720136642456,54,2475.6871370962344,1,0,0,-0.0,0.0,-0.0209850045787546,-0.016858402014651996,-0.14102059435032954,1.0,79.39823481963776,0.0,0.0,0.0,0.0,0.0
2025,120.615,24.195,0.1473351648351648,0.2027495421245421,3.125096326607433,0.727024341425408,0.0372533202171325,55,2436.780292475687,1,0,0,-0.0,0.0,0.0193120421245421,0.0013186813186812918,0.05120397200488469,1.0,-38.90684462054742,0.0,0.0,0.0,0.0,0.0
2018,120.615,24.205,0.0,0.0,0.0,,,3,48398.072739545074,0,0,0,0.0,0.0,,,,,,,,,,
2019,120.615,24.205,0.049742445054945,0.0880311355311355,2.808978472536568,0.0029853137089322,0.7923179268836975,3,48398.072739545074,0,0,0,0.0,0.0,0.049742445054945,0.0880311355311355,2.808978472536568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,120.615,24.205,0.0787608745421245,0.1778405448717948,2.996308818516085,0.7027142786032655,0.1389715075492859,20,16733.961937419874,0,0,0,0.0,0.0,0.029018429487179503,0.0898094093406593,0.18733034597951725,17.0,-31664.1108021252,0.0,0.0,0.0,0.0,0.0
2021,120.615,24.205,0.0987511446886446,0.1955483058608058,3.1265219463241345,0.8339865135269066,0.0705121159553527,21,16009.455090465988,0,0,0,0.0,0.0,0.019990270146520092,0.017707760989011,0.1302131278080494,1.0,-724.5068469538855,0.0,0.0,0.0,0.0,0.0
2022,120.615,24.205,0.0,0.0,0.0,0.0032096163231685,0.7486413717269897,21,16009.455090465992,0,0,0,0.0,0.0,-0.0987511446886446,-0.1955483058608058,-3.1265219463241345,0.0,3.637978807091713e-12,0.0,0.0,0.0,0.0,0.0
