year,lon,lat,building_count,building_area_mean,amenity_count,shop_count,leisure_count,poi_diversity,road_length_total
2018,120.715,24.175,53,526.7576332793908,2,1,1,1.5,0.0
2018,120.715,24.185,4,509.4712839161815,0,0,0,0.0,0.0
2018,120.715,24.195,2,1168.8178309071463,2,0,0,-0.0,0.0
2018,120.715,24.205,0,0.0,0,0,0,0.0,0.0
2018,120.725,24.085,0,0.0,0,0,0,0.0,0.0
2018,120.725,24.095,1,421.1232292740284,0,0,0,0.0,0.0
2018,120.725,24.105,5,2034.2516928030286,0,0,0,0.0,0.0
2018,120.725,24.115,2,3683.7682138027567,0,0,0,0.0,0.0
2018,120.725,24.125,1,9524.30037581884,0,1,0,-0.0,0.0
2018,120.725,24.135,1,319.82672215041725,0,1,0,-0.0,0.0
2018,120.725,24.145,12,2054.276713667469,0,0,0,0.0,0.0
2018,120.725,24.155,4,415.09843374090497,3,0,0,-0.0,0.0
2018,120.725,24.165,47,84.91565635286265,0,0,0,0.0,0.0
2018,120.725,24.175,74,460.5776695085531,12,4,0,0.8112781244591328,0.0
2018,120.725,24.185,1,65.37329323606363,1,0,0,-0.0,0.0
2018,120.725,24.195,2,12054.817508430151,0,0,0,0.0,0.0
2018,120.725,24.205,6,1293.523829623113,0,0,0,0.0,0.0
2018,120.735,24.085,12,0.0,0,0,0,0.0,0.0
2018,120.735,24.095,0,0.0,0,0,0,0.0,0.0
2018,120.735,24.105,0,0.0,0,0,0,0.0,0.0
2018,120.735,24.115,0,0.0,0,0,0,0.0,0.0
2018,120.735,24.125,1,84.84710920727822,0,0,0,0.0,0.0
2018,120.735,24.135,0,0.0,0,0,0,0.0,0.0
2018,120.735,24.145,17,1298.0234059496404,4,0,0,-0.0,0.0
2018,120.735,24.155,4,5749.890541124572,2,0,0,-0.0,0.0
2018,120.735,24.165,90,206.10020595577544,0,0,0,0.0,0.0
2018,120.735,24.175,17,1178.7493082675314,1,0,2,0.9182958340544896,0.0
2018,120.735,24.185,0,0.0,0,0,0,0.0,0.0
2018,120.735,24.195,0,0.0,0,0,0,0.0,0.0
2018,120.735,24.205,0,0.0,0,0,0,0.0,0.0
2018,120.745,24.085,0,0.0,0,0,0,0.0,0.0
2018,120.745,24.095,0,0.0,0,0,0,0.0,0.0
2018,120.745,24.105,0,0.0,0,0,0,0.0,0.0
2018,120.745,24.115,1,0.0,0,0,0,0.0,0.0
2018,120.745,24.125,0,0.0,0,0,0,0.0,0.0
2018,120.745,24.135,0,0.0,0,0,0,0.0,0.0
2018,120.745,24.145,0,0.0,0,0,0,0.0,0.0
2018,120.745,24.155,2,923.0287369586948,0,0,0,0.0,0.0
2018,120.745,24.165,47,206.47634869827388,2,0,0,-0.0,0.0
2018,120.745,24.175,17,122.21777989666279,2,0,0,-0.0,0.0
2018,120.745,24.185,10,547.0679582719348,1,0,0,-0.0,0.0
2018,120.745,24.195,1,848.8347748593746,0,0,0,0.0,0.0
2018,120.745,24.205,0,0.0,0,0,0,0.0,0.0
2018,120.755,24.085,0,0.0,0,0,0,0.0,0.0
2018,120.755,24.095,0,0.0,0,0,0,0.0,0.0
2018,120.755,24.105,0,0.0,0,0,0,0.0,0.0
2018,120.755,24.115,0,0.0,0,0,0,0.0,0.0
2018,120.755,24.125,1,174.20793967499458,1,0,0,-0.0,0.0
2018,120.755,24.135,0,0.0,0,0,0,0.0,0.0
2018,120.755,24.145,0,0.0,0,0,0,0.0,0.0
2018,120.755,24.155,0,0.0,0,0,0,0.0,0.0
2018,120.755,24.165,27,332.6034099244162,0,0,0,0.0,0.0
2018,120.755,24.175,32,248.2759964430772,0,0,0,0.0,0.0
2018,120.755,24.185,56,218.76853313259386,0,0,0,0.0,0.0
2018,120.755,24.195,0,0.0,0,0,0,0.0,0.0
2018,120.755,24.205,0,0.0,0,0,0,0.0,0.0
2019,120.615,24.085,0,0.0,0,0,0,0.0,0.0
2019,120.615,24.095,2,3433.8623857634457,0,0,0,0.0,0.0
2019,120.615,24.105,10,4838.395011076171,0,0,0,0.0,0.0
2019,120.615,24.115,8,13080.010496207375,2,0,0,-0.0,0.0
2019,120.615,24.125,0,0.0,0,0,0,0.0,0.0
2019,120.615,24.135,8,489.5387250552328,5,0,0,-0.0,0.0
2019,120.615,24.145,15,681.0891268140028,2,2,0,1.0,0.0
2019,120.615,24.155,2,1165.8134676075379,1,1,0,1.0,0.0
2019,120.615,24.165,7,879.417203598217,2,0,0,-0.0,0.0
2019,120.615,24.175,22,1193.4567072928664,5,1,0,0.6500224216483541,0.0
2019,120.615,24.185,127,765.5841474710356,16,17,0,0.9993375041688847,0.0
2019,120.615,24.195,29,1050.572725689159,1,0,0,-0.0,0.0
2019,120.615,24.205,3,48398.072739545074,0,0,0,0.0,0.0
2019,120.625,24.085,0,0.0,0,0,0,0.0,0.0
2019,120.625,24.095,23,967.9737221684239,0,0,0,0.0,0.0
2019,120.625,24.105,10,615.0712889606702,3,1,0,0.8112781244591328,0.0
2019,120.625,24.115,3,803.4249972285048,1,0,0,-0.0,0.0
2019,120.625,24.125,10,250.5346831264381,0,0,0,0.0,0.0
2019,120.625,24.135,3,401.5423667509852,0,0,0,0.0,0.0
2019,120.625,24.145,4,3256.519541667296,2,1,0,0.9182958340544896,0.0
2019,120.625,24.155,4,263.1284033540572,4,0,0,-0.0,0.0
2019,120.625,24.165,26,679.4738041562958,1,1,0,1.0,0.0
2019,120.625,24.175,63,882.0517765839,13,10,0,0.9876925088958034,0.0
2019,120.625,24.185,45,1015.5274915787833,8,3,1,1.188721875540867,0.0
2019,120.625,24.195,2,389.03106798125657,2,0,0,-0.0,0.0
2019,120.625,24.205,0,0.0,0,0,0,0.0,0.0
2019,120.635,24.085,0,0.0,0,0,0,0.0,0.0
2019,120.635,24.095,0,0.0,0,0,0,0.0,0.0
2019,120.635,24.105,6,1881.506472373918,0,0,0,0.0,0.0
2019,120.635,24.115,31,310.91300468267207,0,0,0,0.0,0.0
2019,120.635,24.125,18,152.96366596179945,0,0,0,0.0,0.0
2019,120.635,24.135,23,546.1292702135141,6,3,0,0.9182958340544896,0.0
2019,120.635,24.145,16,605.583398053664,0,3,0,-0.0,0.0
2019,120.635,24.155,60,1039.0243337214094,7,2,0,0.7642045065086203,0.0
2019,120.635,24.165,30,1495.2213554878253,6,6,1,1.3143204867061788,0.0
2019,120.635,24.175,46,968.4844365733038,6,2,0,0.8112781244591328,0.0
2019,120.635,24.185,19,713.6774285452206,3,1,0,0.8112781244591328,0.0
2019,120.635,24.195,0,0.0,0,0,0,0.0,0.0
2019,120.635,24.205,0,0.0,0,0,0,0.0,0.0
2019,120.645,24.085,0,0.0,0,0,0,0.0,0.0
2019,120.645,24.095,0,0.0,0,0,0,0.0,0.0
2019,120.645,24.105,1,1234.5223598606403,0,0,0,0.0,0.0
2019,120.645,24.115,0,0.0,0,0,0,0.0,0.0
2019,120.645,24.125,3,3252.5779879333477,0,0,0,0.0,0.0
2019,120.645,24.135,37,2085.4075242441836,21,3,0,0.5435644431995964,0.0
